url,status,score,verdict,coverage_state,page_fetch_state,robots_txt_state,indexing_state,last_crawl_time,last_modified,google_canonical,user_canonical,source_sitemap,recommendation,inspection_error
"https://haven-h1b.com/resources/waivers-of-inadmissibility-explained","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-04T19:39:25Z","2026-04-17T00:00:00.000Z","https://haven-h1b.com/resources/waivers-of-inadmissibility-explained","https://haven-h1b.com/resources/waivers-of-inadmissibility-explained","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/n400-interview-test-oath-and-citizenship-rights","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-07-19T11:25:35Z","2026-04-16T00:00:00.000Z","https://haven-h1b.com/resources/n400-interview-test-oath-and-citizenship-rights","https://haven-h1b.com/resources/n400-interview-test-oath-and-citizenship-rights","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/security-public-charge-unlawful-voting-deportability","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-03T02:18:07Z","2026-04-15T00:00:00.000Z","https://haven-h1b.com/resources/security-public-charge-unlawful-voting-deportability","https://haven-h1b.com/resources/security-public-charge-unlawful-voting-deportability","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/grounds-of-deportability-explained","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-14T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
"https://haven-h1b.com/resources/citizenship-ineligibility-prior-removal-misc-inadmissibility","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-13T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
"https://haven-h1b.com/resources/public-charge-fraud-and-documentation-inadmissibility","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-02T18:42:36Z","2026-04-12T00:00:00.000Z","https://haven-h1b.com/resources/public-charge-fraud-and-documentation-inadmissibility","https://haven-h1b.com/resources/public-charge-fraud-and-documentation-inadmissibility","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/what-makes-someone-inadmissible","unknown","114","NEUTRAL","URL is unknown to Google","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-11T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/credible-fear-vs-reasonable-fear","indexed","39","PASS","Submitted and indexed","SUCCESSFUL","ALLOWED","INDEXING_ALLOWED","2026-08-03T12:44:49Z","2026-04-10T00:00:00.000Z","https://haven-h1b.com/resources/credible-fear-vs-reasonable-fear","https://haven-h1b.com/resources/credible-fear-vs-reasonable-fear","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/asylum-vs-withholding-vs-cat","unknown","114","NEUTRAL","URL is unknown to Google","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-09T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Inspect the URL manually in Search Console and confirm the live page is indexable.",""
"https://haven-h1b.com/resources/asylum-vs-refugee-status","discovered_not_indexed","129","NEUTRAL","Discovered - currently not indexed","PAGE_FETCH_STATE_UNSPECIFIED","ROBOTS_TXT_STATE_UNSPECIFIED","INDEXING_STATE_UNSPECIFIED","","2026-04-08T00:00:00.000Z","","","https://haven-h1b.com/sitemap.xml","Add a crawlable contextual link from an indexed hub or related article, confirm sitemap lastmod, and inspect the live URL.",""
